充電樁位置,地址,經度,緯度,充電樁數量
168停車聯盟蘆洲三民場,新北市蘆洲區三民路33號,121.4753234,25.0832431,4槍
168停車聯盟南昌場,臺北市中正區南昌路一段54巷4弄2號,121.5166875,25.0313125,1槍
城市車旅長安站,臺北市中山區長安東路1段26號,121.5258125,25.0486875,1槍
城市車旅復興SOGO三站,臺北市大安區復興南路196巷1號,121.5429375,25.0399375,2槍
城市車旅中崙站,臺北市松山區八德路2段174巷11弄5、7號,121.5389375,25.0454375,1槍
城市車旅青年站,臺北市萬華區水源路213巷內,121.5013125,25.0193125,6槍
城市車旅延吉站,臺北市松山區八德路3段106巷13號旁,121.5538125,25.0475625,1槍
城市車旅古亭站,臺北市大安區和平東路1段53號,121.5240625,25.0271875,1槍
城市車旅士東國小站,台北市士林區中山北路6段424號,121.5271875,25.1136875,1槍
城市車旅瑞安站,臺北市大安區和平東路二段89號,121.5393125,25.0256875,2槍
城市車旅台北科技站,臺北市大安區復興南路二段193巷16號,121.544465,25.0263957,1槍
城市車旅永康二站,臺北市大安區永康街13巷8號,121.5301875,25.0325625,1槍
城市車旅忠孝玉成站,臺北市南港區忠孝東路六段62號,121.5835625,25.0459375,2槍
